,,,Boys,,,,,,,,,Girls
Team,Link,Distance,Avg,17-18,,16-17,,15-16,,14-15,,Avg,17-18,,16-17,,15-16,,14-15
,,,,Record,Rank,Record,Rank,Record,Rank,Record,Rank,,Record,Rank,Record,Rank,Record,Rank,Record,Rank
Adams Central (Hastings),"https://www.maxpreps.com/high-schools/adams-central-patriots-(hastings,ne)/basketball/rankings.htm",94.05,,="22-5",2583,="25-5",1471,="16-9",4238,="10-5",2726,,="16-7",3242,="13-9",5178,="10-15",9066,="8-8",7081
Allen,"https://www.maxpreps.com/high-schools/allen-eagles-(allen,ne)/basketball/rankings.htm",147.85,,="3-22",18795,="1-20",17691,="4-16",18283,="4-8",17317,,="12-12",8172,="8-13",11151,="0-21",17746,="2-12",16467
Amherst,"https://www.maxpreps.com/high-schools/amherst-broncos-(amherst,ne)/basketball/rankings.htm",128.8,,="24-4",5652,="27-2",1807,="23-4",3948,="11-5",5559,,="14-10",9393,="12-11",11275,="9-14",13404,="6-11",12227
Ansley/Litchfield (Ansley),"https://www.maxpreps.com/high-schools/ansley-litchfield-spartans-(ansley,ne)/basketball/rankings.htm",147.266666666667,,="10-14",15731,="14-11",12117,="8-11",14396,="7-6",13432,,="14-9",8793,="14-11",9365,="12-7",7571,="13-2",4869
Aquinas (David City),"https://www.maxpreps.com/high-schools/aquinas-monarchs-(david-city,ne)/basketball/rankings.htm",55.1,,="16-11",5139,="10-12",5935,="7-16",8891,="11-4",3599,,="8-14",7505,="9-13",7079,="10-13",6475,="7-8",6407
Archbishop Bergan (Fremont),"https://www.maxpreps.com/high-schools/archbishop-bergan-knights-(fremont,ne)/basketball/rankings.htm",55.2333333333333,,="20-7",2404,="11-14",7501,="6-16",10559,="9-5",5163,,="7-18",11617,="11-12",9088,="15-7",4936,="12-3",3240
Arlington,"https://www.maxpreps.com/high-schools/arlington-eagles-(arlington,ne)/basketball/rankings.htm",67,,="16-7",3739,="6-16",10794,="13-10",5634,="4-12",11678,,="11-11",8164,="7-16",12001,="10-12",9685,="10-8",7033
Ashland-Greenwood (Ashland),"https://www.maxpreps.com/high-schools/ashland-greenwood-bluejays-(ashland,ne)/basketball/rankings.htm",28.5333333333333,,="13-11",7706,="5-18",11812,="0-20",15748,="2-11",15443,,="4-18",12081,="4-16",14062,="4-19",14566,="3-13",13403
Auburn,"https://www.maxpreps.com/high-schools/auburn-bulldogs-(auburn,ne)/basketball/rankings.htm",78.15,,="6-18",13268,="8-15",9943,="13-11",8173,="8-7",7286,,="10-15",10748,="19-6",5756,="20-5",3843,="12-3",1713
Aurora,"https://www.maxpreps.com/high-schools/aurora-huskies-(aurora,ne)/basketball/rankings.htm",63.1333333333333,,="21-8",2919,="25-2",746,="25-2",478,="12-2",691,,="11-14",5167,="19-7",2499,="15-9",3065,="10-5",4004
Axtell,"https://www.maxpreps.com/high-schools/axtell-wildcats-(axtell,ne)/basketball/rankings.htm",124.016666666667,,="16-6",11163,="22-5",5441,="3-20",18495,="3-12",16817,,="20-6",6266,="19-7",6959,="19-5",6885,="8-7",10579
Bancroft-Rosalie/Lyons-Decatur Northeast (Bancroft),"https://www.maxpreps.com/high-schools/bancroft-rosalie-lyons-decatur-northeast-(bancroft,ne)/basketball/rankings.htm",105.133333333333,, ,, ,,="15-11",7923,="15-1",2433,, ,, ,,="16-9",4609,="13-4",3178
Battle Creek,"https://www.maxpreps.com/high-schools/battle-creek-braves-(battle-creek,ne)/basketball/rankings.htm",136.516666666667,,="23-9",3176,="19-8",2628,="12-15",7341,="11-5",4692,,="8-16",7330,="9-17",8499,="12-13",6212,="4-13",10791
Beatrice,"https://www.maxpreps.com/high-schools/beatrice-orangemen-(beatrice,ne)/basketball/rankings.htm",45.15,,="22-2",629,="21-3",652,="17-6",1202,="7-7",4645,,="16-8",1863,="13-9",3811,="14-9",3759,="7-6",4925
Bellevue East (Bellevue),"https://www.maxpreps.com/high-schools/bellevue-east-chieftains-(bellevue,ne)/basketball/rankings.htm",57.35,,="2-22",5413,="0-23",14634,="8-15",6820,="7-7",5587,,="6-18",6804,="8-15",7855,="4-19",13336,="1-14",14999
